云计算事业部助理（实习生）,02-08发布,"民营公司|50-150人|计算机软件,计算机服务(系统、数据服务、维修)",1.5-2千/月,杭州-滨江区,杭州华量软件有限公司,无工作经验,,招1人,,商务助理
云计算销售,02-08发布,"外资（非欧美）|150-500人|通信/电信运营、增值服务,计算机服务(系统、数据服务、维修)",0.6-1万/月,苏州-高新区,江苏富士通通信技术有限公司,无工作经验,本科,招2人,,销售代表
IT工程师（服务器/存储/云计算）,02-08发布,"合资|10000人以上|计算机软件,计算机服务(系统、数据服务、维修)",4-8千/月,广州-越秀区,中软国际科技服务有限公司,无工作经验,大专,招若干人,,技术支持/维护工程师
云计算架构师,02-08发布,上市公司|1000-5000人|互联网/电子商务,2-3.5万/月,上海,上海宝尊电子商务有限公司,5-7年经验,本科,招1人,,其他
IDC/云计算+售前/售后技术工程师,02-08发布,"民营公司|150-500人|通信/电信运营、增值服务,互联网/电子商务",4-8千/月,佛山,广州纳诺信息科技有限公司,2年经验,本科,招1人,,售前/售后技术支持工程师
云计算产品事业部销售,02-08发布,"外资（非欧美）|500-1000人|计算机硬件,计算机软件",2-2.5万/月,北京-朝阳区,北京富通东方科技有限公司,5-7年经验,大专,招2人,,销售经理
云计算OpenStack销售,02-08发布,"民营公司|50-150人|计算机软件,计算机服务(系统、数据服务、维修)",0.6-1万/月,上海,浙江九州云信息科技有限公司,无工作经验,,招3人,,销售代表
云计算工程师(职位编号：3),02-08发布,"民营公司|少于50人|通信/电信/网络设备,计算机服务(系统、数据服务、维修)",2-6千/月,东莞-南城区,东莞市智鸿数码科技有限公司,无工作经验,大专,招3人,,技术支持/维护工程师
软件工程师（云计算方向）,02-08发布,民营公司|50-150人|计算机服务(系统、数据服务、维修),0.6-1.2万/月,南京,江苏金盾检测技术有限公司,无工作经验,,招若干人,,软件工程师
云计算解决方案架构师,02-08发布,"上市公司|500-1000人|计算机服务(系统、数据服务、维修),计算机硬件",2-2.5万/月,北京-朝阳区,万国数据服务有限公司,无工作经验,本科,招1人,岗位职责：,售前/售后技术支持经理
软件开发工程师/实习生-云计算开发,02-08发布,"上市公司|1000-5000人|互联网/电子商务,计算机软件",4.5-6千/月,西安,重庆好奇堂游戏有限公司,无工作经验,大专,招4人,岗位职责：,软件工程师
云计算工程师,02-08发布,"国企|1000-5000人|通信/电信/网络设备,电子技术/半导体/集成电路",0.8-1万/月,嘉兴,中国电子科技集团公司第三十六研究所,3-4年经验,本科,招20人,岗位职责：,其他
云计算高级网络工程师,02-08发布,"民营公司|50-150人|计算机软件,互联网/电子商务",1-1.5万/月,上海,上海有云信息技术有限公司,1年经验,本科,招1人,１．掌握IP网络基础知识，包括L2/L3/L4层通信原理；,软件工程师
云计算顾问工程师（上海）,02-08发布,"国企|1000-5000人|计算机服务(系统、数据服务、维修),计算机软件",,上海,上海华讯网络系统有限公司,3-4年经验,本科,招若干人,基本职责：,需求工程师
云计算课程开发工程师,02-08发布,民营公司|500-1000人|计算机服务(系统、数据服务、维修),0.8-1万/月,福州,福建中锐网络股份有限公司,3-4年经验,,招若干人,岗位职责：,系统集成工程师
大数据及云计算产品经理,02-08发布,"民营公司|少于50人|计算机软件,计算机服务(系统、数据服务、维修)",20-30万/年,广州,广州清宇信息科技有限公司,无工作经验,本科,招1人,岗位职责:,其他
